"id","migration","batch"
64,"2014_10_12_000000_create_users_table",1
65,"2014_10_12_100000_create_password_reset_tokens_table",1
66,"2014_10_12_200000_add_two_factor_columns_to_users_table",1
67,"2019_08_19_000000_create_failed_jobs_table",1
68,"2019_12_14_000001_create_personal_access_tokens_table",1
69,"2024_02_06_051316_create_sessions_table",1
70,"2024_03_01_112603_create_roles_table",1
71,"2024_03_01_113426_create_baptisms_table",1
72,"2024_03_01_113610_create_transactions_table",1
73,"2024_03_01_113623_create_groups_table",1
74,"2024_03_01_113624_create_resources_table",1
75,"2024_03_01_113635_create_borrowed_table",1
76,"2024_03_01_113636_create_sectors_table",1
77,"2024_03_01_113651_create_assemblies_table",1
78,"2024_03_01_113652_create_messages_table",1
79,"2024_03_01_113730_create_events_table",1
80,"2024_03_01_113744_create_medias_table",1
81,"2024_03_11_195854_create_role_user_table",1
82,"2024_03_16_040752_create_assembly_event_table",1
83,"2024_03_24_171857_create_assembly_messages_table",1
84,"2024_03_26_005346_create_assembly_media_table",1
85,"2024_04_10_192511_add_profession_detail_column",2
86,"2024_04_14_164430_update_birthdate_format",3
87,"2025_03_02_110741_create_donations_table",4
88,"2025_03_02_143200_add_donor_fields_to_transactions_table",4
89,"2025_03_02_144859_create_payment_methods_table",4
90,"2025_03_02_150859_revise_donor_fields_in_transactions_table",4
91,"2025_03_02_152624_add_transaction_reference_to_transactions_table",4
92,"2025_03_02_154604_drop_existing_donations_table",4
93,"2025_03_02_154728_recreate__donations_table",4
94,"2025_03_09_024424_add_is_active_to_payment_methods_table",5
95,"2025_03_09_024753_add_missing_fields_to_donations_table",5
96,"2025_03_09_034538_add_m_fields_to_donations_table",5
97,"2025_03_09_141533_create_logs_table",5
